1,Associate In Computer Science,1
2,Associate in Information Technology,1
3,Bachelor of Science in Computer Science,1
4,Bachelor of Science in Information Technology,1
5,Associate in Industrial Technology,2
6,Associate in Medical Dental Nursing Assistant,2
7,Bachelor of Science in Fisheries,2
8,Bachelor of Science in Industrial Technology,2
9,Bachelor of Science in Criminology,3
10,Bachelor of Elementary Education,4
11,Bachelor of Secondary Education,4
12,Associate in Hospitality Management,5
13,Bachelor of Science in Hospitality Management,5
14,Associate in Office Systems Management,5
15,Bachelor of Science in Office Systems Management,5
16,Bachelor of Science in Business Administration,5
