1,N/A,1
2,N/A,2
3,N/A,3
4,N/A,4
5,Automotive Technology,5
6,Computer Technology,5
7,Electrical Technology,5
8,Electronic Technology,5
9,Food Technology,5
10,N/A,6
11,N/A,7
12,Automotive Technology,8
13,Computer Technology,8
14,Electrical Technology,8
15,Electronic Technology,8
16,Food Technology,8
17,N/A,9
18,General Curriculum,10
19,Biological Science,11
20,English,11
21,MAPEH,11
22,Mathematics,11
23,Social Science,11
24,Filipino,11
25,TLE,11
26,N/A,12
27,N/A,13
28,N/A,14
29,N/A,15
30,Financial Management,16
31,Marketing Management,16
32,Human Resource Development Management,16
